fold,accuracy,roc_auc
0,0.6099290780141844,0.3905109489051095
1,0.574468085106383,0.416058394160584
2,0.55,0.34375
3,0.6642857142857143,0.40441176470588236
4,0.5785714285714286,0.4319852941176471
