idx,raw_dtw,emb_dtw,emb_cam_dtw,is_event,date
0,1.4414813783433702,1.4936741290247935,1.7418075789832395,0,2023-04-21
1,1.2999999081646958,1.6136549479591902,2.0148735383702263,0,2023-04-24
2,1.2399998770819773,1.375188416287958,1.7466264980483535,0,2023-04-25
3,1.2725925092343937,1.2354447994040265,1.599735208063145,0,2023-04-26
4,1.339629526491519,1.2259040772556944,1.4331498377493452,0,2023-04-27
5,1.343333244323731,1.1201002858022626,1.3339341455407117,0,2023-04-28
6,0.9699999392032628,1.0295637566163323,1.1773205163493514,0,2023-05-01
7,1.057931077891383,1.0302744127788164,1.1581480360998122,0,2023-05-02
8,1.0306667009989428,1.0286149457359655,1.1832039293263863,0,2023-05-03
9,1.0933333714803068,1.1170347559593643,1.238371547016397,0,2023-05-04
10,1.465200004577637,1.3445173099464853,1.616447350994871,0,2023-05-05
11,1.400800018310547,1.2800551897053996,1.6499224257509926,0,2023-05-08
12,1.4024999936421716,1.2541463354067,1.4884703868950093,0,2023-05-09
13,1.400869535363239,1.2282463718984846,1.4955824934672142,0,2023-05-10
14,1.3100000049756924,1.1506405731696685,1.4237904287848673,0,2023-05-11
15,1.2395833333333337,1.1397044118094317,1.434235373781575,0,2023-05-12
16,1.0992591292769818,1.1326676509450686,1.4291980263942137,0,2023-05-15
17,1.0489283970424104,1.0073180799130252,1.2403380256776508,0,2023-05-16
18,1.07357120513916,0.9434050714492224,1.217781863684379,0,2023-05-17
19,1.005666796366374,0.9519403962808016,1.2055667171759499,0,2023-05-18
20,0.8013331731160485,0.9502239254695213,1.0609488629436623,0,2023-05-19
21,0.7723331451416018,0.7646271592838284,0.9662982267976472,0,2023-05-22
22,0.7573331197102867,0.7610803039170916,0.966748196207805,0,2023-05-23
23,0.7748274309881805,0.7573213645532584,1.004294527299461,0,2023-05-24
24,0.8442856243678504,0.7559979417964162,1.0479182645507081,0,2023-05-25
25,1.0615384395305933,0.9462646768372517,1.2955316172255407,0,2023-05-26
26,1.1599999574514541,1.224726771112726,1.5165214023147262,0,2023-05-29
27,1.6241664489110317,1.4523702019752505,1.812200094281983,0,2023-05-30
28,1.5867996978759769,1.4574954830752704,1.9926901462835742,0,2023-05-31
29,1.6749997536341352,1.2261719304584167,1.6941019589745283,0,2023-06-01
30,0.9466666115654839,0.945945292287033,1.2779173301095448,0,2023-06-02
31,0.8491997909545898,0.7466425017320139,0.9659384346266059,0,2023-06-05
32,0.7122220286616573,0.7416159460252376,0.9526395075901257,0,2023-06-06
33,0.6855554227475766,0.7660220989564561,0.9845802149531189,0,2023-06-07
34,0.6792591589468496,0.8150169897148644,1.036539960904818,0,2023-06-08
35,0.6840740133214878,0.8668741821561032,1.103576976314974,0,2023-06-09
36,0.6549999032701761,0.8607065839952773,1.0918479176626164,0,2023-06-12
37,0.6325924131605357,0.82571394093475,1.0378249937029482,0,2023-06-13
38,0.5511109387433084,0.750497037262617,0.9393669709619153,0,2023-06-14
39,0.5307140690939763,0.6337889497240211,0.7848796315637291,0,2023-06-15
40,0.6549998351505822,0.6458723564241053,0.7708836198833932,0,2023-06-16
41,0.7778569630214144,0.661305613302816,0.7427217119210981,0,2023-06-19
42,1.1826922710125263,0.7693652006013753,0.823947014385836,0,2023-06-20
43,1.2211537727942834,0.9514877997865067,1.2936373488317399,0,2023-06-21
44,1.3703998947143554,1.0019846520234714,1.3337717731140164,0,2023-06-22
45,1.5167998504638676,1.0824044351088051,1.1918667071632854,0,2023-06-23
46,1.6627998352050783,1.2264608550473861,1.6355497214815387,0,2023-06-26
47,1.6746153464684121,1.3403791177835924,1.7612724857067745,0,2023-06-27
48,1.4653332392374674,1.199539386287708,1.575172067069745,0,2023-06-28
49,1.6285184224446614,1.1029870478185797,1.4185667059865528,0,2023-06-29
50,1.776153747852032,0.9302655799207895,1.2331790213628355,0,2023-06-30
51,1.8915999221801758,0.8453110047812729,1.0232662038463938,0,2023-07-03
52,1.8699999222388635,0.7893154081146038,0.9169207015135571,0,2023-07-04
53,1.9615999603271483,0.7810153076830164,0.9028808306995417,0,2023-07-05
