date,is_event,concept,sign_score,positive_mass,mean_dd,cam_weighted_pos_mass
2023-04-21,0,0,0.0,0.0,-0.001002700199731628,0.0
2023-04-24,0,0,0.0,0.0,-0.0008198390723535691,0.0
2023-04-25,0,0,0.0,0.0,-0.0008433583116063082,0.0
2023-04-26,0,0,0.0,0.0,-0.0011349088444059148,0.0
2023-04-27,0,0,0.0,0.0,-0.0008900363913274444,0.0
2023-04-28,0,0,0.0,0.0,-0.0011117660075362448,0.0
2023-05-01,0,0,0.0,0.0,-0.0008912564070061469,0.0
2023-05-02,0,1,0.0,0.0,-0.0007592411994638724,0.0
2023-05-03,0,0,0.0,0.0,-0.0012624536945673253,0.0
2023-05-04,0,0,0.0,0.0,-0.0012329352696533113,0.0
2023-05-05,0,0,0.0,0.0,-0.0010828491584391885,0.0
2023-05-08,0,0,0.0,0.0,-0.0013408484210084913,0.0
2023-05-09,0,0,0.0,0.0,-0.001301289026295006,0.0
2023-05-10,0,0,0.0,0.0,-0.0012352813287876939,0.0
2023-05-11,0,0,0.0,0.0,-0.0011632367796941944,0.0
2023-05-12,0,0,0.0,0.0,-0.0011613057927426058,0.0
2023-05-15,0,0,0.0,0.0,-0.001161951430559019,0.0
2023-05-16,0,0,0.0,0.0,-0.0011589981358012492,0.0
2023-05-17,0,0,0.0,0.0,-0.001175352437626496,0.0
2023-05-18,0,0,0.0,0.0,-0.0011439721860501705,0.0
2023-05-19,0,0,0.0,0.0,-0.0012001452993546818,0.0
2023-05-22,0,0,0.0,0.0,-0.0011221644238430459,0.0
2023-05-23,0,0,0.0,0.0,-0.0011929751826386754,0.0
2023-05-24,0,0,0.0,0.0,-0.001188470709936179,0.0
2023-05-25,0,0,0.0,0.0,-0.0010413101015110564,0.0
2023-05-26,0,0,0.0,0.0,-0.0010944577876028446,0.0
2023-05-29,0,0,0.0,0.0,-0.001274939020059336,0.0
2023-05-30,0,0,0.0,0.0,-0.001200414610703341,0.0
2023-05-31,0,0,0.0,0.0,-0.0012018194771370935,0.0
2023-06-01,0,0,0.0,0.0,-0.0011914215247659592,0.0
2023-06-02,0,0,0.0,0.0,-0.0011451601340836113,0.0
2023-06-05,0,0,0.0,0.0,-0.0008447415079098321,0.0
2023-06-06,0,0,0.0,0.0,-0.0009529855590758911,0.0
2023-06-07,0,0,0.0,0.0,-0.001055276022858865,0.0
2023-06-08,0,0,0.0,0.0,-0.001175104700686447,0.0
2023-06-09,0,0,0.0,0.0,-0.0012953230450892127,0.0
2023-06-12,0,0,0.0,0.0,-0.0014635517760328797,0.0
2023-06-13,0,0,0.0,0.0,-0.0022733281209552647,0.0
2023-06-14,0,0,0.0,0.0,-0.001876095407223974,0.0
2023-06-15,0,0,0.0,0.0,-0.0023408168767080403,0.0
2023-06-16,0,0,0.0,0.0,-0.002564266803247494,0.0
2023-06-19,0,0,0.0,0.0,-0.001986893357915514,0.0
2023-06-20,0,0,0.0,0.0,-0.0018036892209493175,0.0
2023-06-21,0,0,0.0,0.0,-0.002207932547800476,0.0
2023-06-22,0,0,0.0,0.0,-0.0020020935481128545,0.0
2023-06-23,0,0,0.0,0.0,-0.0013850755024430203,0.0
2023-06-26,0,0,0.0,0.0,-0.0018708839064875394,0.0
2023-06-27,0,0,0.0,0.0,-0.0017251992581258026,0.0
2023-06-28,0,0,0.0,0.0,-0.0014601860772807363,0.0
2023-06-29,0,0,0.0,0.0,-0.0009578132280100401,0.0
2023-06-30,0,0,0.0,0.0,-0.0008046558755609508,0.0
2023-07-03,0,0,0.0,0.0,-0.0007745448553264352,0.0
2023-07-04,0,0,0.0,0.0,-0.0007200588367445295,0.0
2023-07-05,0,0,0.0,0.0,-0.0007212367530812383,0.0
2023-07-06,0,0,0.0,0.0,-0.0007390426575348772,0.0
2023-07-07,0,0,0.0,0.0,-0.0005729432953869381,0.0
2023-07-10,0,0,0.0,0.0,-0.0007569245105147015,0.0
2023-07-11,0,0,0.0,0.0,-0.0007626422801335319,0.0
2023-07-12,0,0,0.0,0.0,-0.0009802530415075003,0.0
2023-07-13,0,0,0.0,0.0,-0.000979004392921196,0.0
2023-07-14,0,0,0.0,0.0,-0.0009631477686775164,0.0
2023-07-17,0,0,0.0,0.0,-0.0009736220911532488,0.0
2023-07-18,0,0,0.0,0.0,-0.0009761594778465389,0.0
2023-07-19,0,0,0.0,0.0,-0.0009938029722496827,0.0
2023-07-20,0,0,0.0,0.0,-0.0009690854719601405,0.0
2023-07-21,0,0,0.0,0.0,-0.0009081372857046123,0.0
2023-07-24,0,0,0.0,0.0,-0.0008998672945663104,0.0
2023-07-25,0,0,0.0,0.0,-0.0008928431033556564,0.0
2023-07-26,0,0,0.0,0.0,-0.0008912011869194492,0.0
2023-07-27,0,0,0.0,0.0,-0.0009103006001792526,0.0
2023-07-28,0,0,0.0,0.0,-0.0009249029759721087,0.0
2023-07-31,0,0,0.0,0.0,-0.0009314209376582285,0.0
2023-08-01,0,0,0.0,0.0,-0.0009289467935925005,0.0
2023-08-02,0,0,0.0,0.0,-0.0009204374699914329,0.0
2023-08-03,0,0,0.0,0.0,-0.0007228618373455667,0.0
2023-08-04,0,0,0.0,0.0,-0.0009549210956949397,0.0
2023-08-07,0,0,0.0,0.0,-0.0009451113034024903,0.0
2023-08-08,0,0,0.0,0.0,-0.00122650903901337,0.0
2023-08-09,0,0,0.0,0.0,-0.001293323209243502,0.0
2023-08-10,0,0,0.0,0.0,-0.001689055709491133,0.0
2023-08-11,0,0,0.0,0.0,-0.0017261161076777838,0.0
2023-08-14,0,0,0.0,0.0,-0.0016662442850145776,0.0
2023-08-15,0,0,0.0,0.0,-0.0016269044003108008,0.0
2023-08-16,0,0,0.0,0.0,-0.0013207466457532111,0.0
2023-08-17,0,0,0.0,0.0,-0.0013687339729329063,0.0
2023-08-18,0,0,0.0,0.0,-0.0014951359028343683,0.0
2023-08-21,0,0,0.0,0.0,-0.0019087436908247525,0.0
2023-08-22,0,0,0.0,0.0,-0.001919344644605912,0.0
2023-08-23,0,0,0.0,0.0,-0.0018709443364124299,0.0
2023-08-24,0,0,0.0,0.0,-0.001689389746726912,0.0
2023-08-25,0,0,0.0,0.0,-0.0016943212722503403,0.0
2023-08-28,0,0,0.0,0.0,-0.001452851249807739,0.0
2023-08-29,0,0,0.0,0.0,-0.0012677921053034157,0.0
2023-08-30,0,0,0.0,0.0,-0.0006876529262897532,0.0
2023-08-31,0,0,0.0,0.0,-0.0007870620626372731,0.0
2023-09-01,0,0,0.0,0.0,-0.000899267690144696,0.0
2023-09-04,0,0,0.0,0.0,-0.001007764840723856,0.0
2023-09-05,0,0,0.0,0.0,-0.0011127514907441766,0.0
2023-09-06,0,0,0.0,0.0,-0.0012637956650155653,0.0
2023-09-07,0,0,0.0,0.0,-0.0020005123933388054,0.0
2023-09-08,0,0,0.0,0.0,-0.002015030129472484,0.0
2023-09-11,0,0,0.0,0.0,-0.0013122218139625394,0.0
2023-09-12,0,0,0.0,0.0,-0.0015609983326829596,0.0
2023-09-13,0,0,0.0,0.0,-0.0020890699341486055,0.0
2023-09-14,0,0,0.0,0.0,-0.0015568522684616078,0.0
2023-09-15,0,0,0.0,0.0,-0.0018065901883120247,0.0
2023-09-18,0,0,0.0,0.0,-0.0018420948341651457,0.0
2023-09-19,0,0,0.0,0.0,-0.001661974782790316,0.0
2023-09-20,0,0,0.0,0.0,-0.0014684798962683043,0.0
2023-09-21,0,0,0.0,0.0,-0.0013913534832141617,0.0
2023-09-22,0,0,0.0,0.0,-0.0009231017818153005,0.0
2023-09-25,0,0,0.0,0.0,-0.0010448370481999922,0.0
2023-09-26,0,0,0.0,0.0,-0.0014358490763017556,0.0
2023-09-27,0,0,0.0,0.0,-0.0014080247610413405,0.0
2023-09-28,0,0,0.0,0.0,-0.0019338009072901198,0.0
2023-09-29,0,0,0.0,0.0,-0.0025110608449990354,0.0
2023-10-02,0,0,0.0,0.0,-0.00250672753801244,0.0
2023-10-03,0,0,0.0,0.0,-0.0024965467225882415,0.0
2023-10-04,0,0,0.0,0.0,-0.002170588615654065,0.0
2023-10-05,0,0,0.0,0.0,-0.002236952843604001,0.0
2023-10-06,0,0,0.0,0.0,-0.0028361024618252604,0.0
2023-10-09,0,0,0.0,0.0,-0.0027707698876243726,0.0
2023-10-10,0,0,0.0,0.0,-0.002686019304079089,0.0
2023-10-11,0,0,0.0,0.0,-0.0026011183685452667,0.0
2023-10-12,0,0,0.0,0.0,-0.0024136085168272453,0.0
2023-10-13,0,1,0.0,0.0,-0.0020539177055045295,0.0
2023-10-16,0,0,0.0,0.0,-0.001905703261630487,0.0
2023-10-17,0,0,0.0,0.0,-0.0016058966498525827,0.0
2023-10-18,0,1,0.0,0.0,-0.0012562588999032427,0.0
2023-10-19,0,0,0.0,0.0,-0.0011020149543588729,0.0
2023-10-20,0,0,0.0,0.0,-0.0008791563579035203,0.0
2023-10-23,0,0,0.0,0.0,-0.0012804909760221691,0.0
2023-10-24,0,0,0.0,0.0,-0.0013101158674585088,0.0
2023-10-25,0,0,0.0,0.0,-0.0016336203615479484,0.0
2023-10-26,0,0,0.0,0.0,-0.0017054486159737568,0.0
2023-10-27,0,0,0.0,0.0,-0.0013918930877472057,0.0
2023-10-30,0,0,0.0,0.0,-0.0014508253211007484,0.0
2023-10-31,0,0,0.0,0.0,-0.0017922977689415046,0.0
2023-11-01,0,0,0.0,0.0,-0.0017887510892794674,0.0
2023-11-02,0,0,0.0,0.0,-0.0018577784938563196,0.0
2023-11-03,0,0,0.0,0.0,-0.0012846199178541537,0.0
2023-11-06,0,0,0.0,0.0,-0.00135531873640838,0.0
2023-11-07,0,0,0.0,0.0,-0.00155986079618289,0.0
2023-11-08,0,0,0.0,0.0,-0.0016653611508012436,0.0
2023-11-09,0,0,0.0,0.0,-0.001590518386137239,0.0
2023-11-10,0,0,0.0,0.0,-0.001813336781211896,0.0
2023-11-13,0,0,0.0,0.0,-0.0017380972186657317,0.0
2023-11-14,0,0,0.0,0.0,-0.0023454979960421994,0.0
2023-11-15,0,0,0.0,0.0,-0.0018180066815034548,0.0
2023-11-16,0,0,0.0,0.0,-0.002909889184685753,0.0
2023-11-17,0,0,0.0,0.0,-0.002834348212916354,0.0
2023-11-20,0,0,0.0,0.0,-0.003148367052005452,0.0
2023-11-21,0,0,0.0,0.0,-0.0017961784619207166,0.0
2023-11-22,0,0,0.0,0.0,-0.0023146560887652933,0.0
2023-11-23,0,0,0.0,0.0,-0.0018215413770555165,0.0
2023-11-24,0,0,0.0,0.0,-0.0017457607387221345,0.0
2023-11-27,0,0,0.0,0.0,-0.001334188020045116,0.0
2023-11-28,0,0,0.0,0.0,-0.0012220456111323584,0.0
2023-11-29,0,0,0.0,0.0,-0.0009952689070616937,0.0
2023-11-30,0,0,0.0,0.0,-0.0010962874000698028,0.0
2023-12-01,0,0,0.0,0.0,-0.001050857375601054,0.0
2023-12-04,0,0,0.0,0.0,-0.0008505626960078477,0.0
2023-12-05,0,0,0.0,0.0,-0.0012003525902853235,0.0
2023-12-06,0,0,0.0,0.0,-0.0011160333643588653,0.0
2023-12-07,0,0,0.0,0.0,-0.0011956953769131113,0.0
2023-12-08,0,0,0.0,0.0,-0.0010176554649463652,0.0
2023-12-11,0,0,0.0,0.0,-0.0007646958619877091,0.0
2023-12-12,0,0,0.0,0.0,-0.0008312440445362841,0.0
2023-12-13,0,0,0.0,0.0,-0.0005110576675835923,0.0
2023-12-14,0,0,0.0,0.0,-0.0005220412614874169,0.0
2023-12-15,0,0,0.0,0.0,-0.0006185103314007465,0.0
2023-12-18,0,0,0.0,0.0,-0.00048593841791037703,0.0
